Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,27-03-2024 12:42:24,27-03-2024 12:42:24,0.867s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,27-03-2024 12:42:24,27-03-2024 12:42:27,2.499s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_password""), pasword)",Chrome 123.0.0.0,,,27-03-2024 12:42:27,27-03-2024 12:42:28,1.045s,PASSED
"click(findTestObject(""Lab4/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,27-03-2024 12:42:28,27-03-2024 12:42:28,0.507s,PASSED
"verifyTextPresent(excepted, false)",Chrome 123.0.0.0,,,27-03-2024 12:42:28,27-03-2024 12:42:44,15.849s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 12:42:44,27-03-2024 12:42:45,0.256s,PASSED
,,,,,,,
Test Cases/check login,Chrome 123.0.0.0,,,27-03-2024 12:42:45,27-03-2024 12:42:51,6.705s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 12:42:45,27-03-2024 12:42:46,1.062s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,27-03-2024 12:42:46,27-03-2024 12:42:47,0.946s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,27-03-2024 12:42:47,27-03-2024 12:42:49,2.389s,PASSED
"setText(findTestObject(""Lab4/input_Swag Labs_password""), pasword)",Chrome 123.0.0.0,,,27-03-2024 12:42:49,27-03-2024 12:42:50,0.945s,PASSED
"click(findTestObject(""Lab4/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,27-03-2024 12:42:50,27-03-2024 12:42:50,0.530s,PASSED
"verifyTextPresent(excepted, false)",Chrome 123.0.0.0,,,27-03-2024 12:42:50,27-03-2024 12:42:51,0.569s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 12:42:51,27-03-2024 12:42:51,0.243s,PASSED
